date,power.prod.fcst
2016-01-01 00:00:00,9135
2016-01-01 01:00:00,8855
2016-01-01 02:00:00,8534
2016-01-01 03:00:00,8090
2016-01-01 04:00:00,7816
2016-01-01 05:00:00,7798
2016-01-01 06:00:00,7833
2016-01-01 07:00:00,8188
2016-01-01 08:00:00,8355
2016-01-01 09:00:00,8716
2016-01-01 10:00:00,9431
2016-01-01 11:00:00,9883
2016-01-01 12:00:00,10017
2016-01-01 13:00:00,10074
2016-01-01 14:00:00,9510
2016-01-01 15:00:00,9661
2016-01-01 16:00:00,10204
2016-01-01 17:00:00,11372
2016-01-01 18:00:00,11963
2016-01-01 19:00:00,12130
2016-01-01 20:00:00,11964
2016-01-01 21:00:00,11844
2016-01-01 22:00:00,11193
2016-01-01 23:00:00,10432
2016-01-02 00:00:00,9534
2016-01-02 01:00:00,8967
2016-01-02 02:00:00,8583
2016-01-02 03:00:00,8250
2016-01-02 04:00:00,8178
2016-01-02 05:00:00,8214
2016-01-02 06:00:00,8647
2016-01-02 07:00:00,9453
2016-01-02 08:00:00,10228
2016-01-02 09:00:00,10841
2016-01-02 10:00:00,11308
2016-01-02 11:00:00,11265
2016-01-02 12:00:00,11282
2016-01-02 13:00:00,11154
2016-01-02 14:00:00,10748
2016-01-02 15:00:00,10652
2016-01-02 16:00:00,10801
2016-01-02 17:00:00,11625
2016-01-02 18:00:00,12126
2016-01-02 19:00:00,12049
2016-01-02 20:00:00,11463
2016-01-02 21:00:00,10707
2016-01-02 22:00:00,10368
2016-01-02 23:00:00,9848
2016-01-03 00:00:00,9181
2016-01-03 01:00:00,8581
2016-01-03 02:00:00,8059
2016-01-03 03:00:00,7630
2016-01-03 04:00:00,7273
2016-01-03 05:00:00,7415
2016-01-03 06:00:00,7757
2016-01-03 07:00:00,8100
2016-01-03 08:00:00,8525
2016-01-03 09:00:00,9132
2016-01-03 10:00:00,9562
2016-01-03 11:00:00,9835
2016-01-03 12:00:00,10043
2016-01-03 13:00:00,9741
2016-01-03 14:00:00,9469
2016-01-03 15:00:00,9496
2016-01-03 16:00:00,9772
2016-01-03 17:00:00,11069
2016-01-03 18:00:00,11502
